,Kcalories,Glucides,Protéines,Lipides
noix-de-muscade-moulue,525,49.29,5.84,36.31
moutarde,67,5.33,4.37,4.01
marjolaine-sechee,271,60.56,12.66,7.04
macis-moulu,475,50.5,6.71,32.38
gingembre-moulu,335,71.62,8.98,4.24
racine-de-gingembre,80,17.77,1.82,0.75
caramel-ecossais,391,90.4,0.03,3.3
caramel-avec-noix-enrobe-de-chocolat,470,60.67,9.5,21
grains-de-cafe-enrobes-de-chocolat,549,55.25,7.41,33.18
barre-aux-fruits-jus-de-fruits,87,20.2,1.2,0.1
pain-depice,356,49.2,3.9,16.4
halva,469,60.49,12.49,21.52
marshmallow-enrobe-de-chocolat,421,67.7,4,16.9
marshmallow,318,81.3,1.8,0.2
cacahuete-enrobee-de-chocolat,519,49.7,13.1,33.5
raisin-enrobe-de-chocolat,390,68.4,4.1,14.8
nougat-aux-amandes,398,92.39,3.33,1.67
croquant-aux-cacahuetes,486,71.24,7.57,18.98
fudge-au-beurre-de-cacahuete,387,77.75,3.78,6.59
praline,485,59.59,3.3,25.9
pomme-damour,94,23.64,2.06,0.29
amandes-enrobees-de-chocolat,474,68.26,10,17.93
caramel-mou,560,64.72,1.07,32.75
fudge-a-la-vanille,383,82.15,1.05,5.45
fudge-a-la-vanille-et-aux-noix,435,74.61,3,13.69
ourson-guimauve-cemoi,360,65,3.5,9.7
michoko-la-pie-qui-chante,128,16.8,0.8,5.6
fromage-a-hamburger,371,3.7,18.13,31.79
fromage-bleu,353,2.34,21.4,28.74
substitut-de-fromage,390,1,25,32
monterey-jack-fromage-allege,310,0.7,28.2,21.6
chester-fromage,387,4.78,23.37,30.6
colby-fromage,394,2.57,23.76,32.11
edam-fromage,357,1.43,24.99,27.8
fontina-fromage,389,1.55,25.6,31.14
monterey-jack-fromage,373,0.68,24.48,30.28
crateva-religiosa,69,17.6,1.5,0.1
pomme-golden-delicious,57,13.6,0.28,0.15
pomme,52,13.81,0.26,0.17
apple-dippers-mcdonalds,48,12.1,0,0
compote-de-pomme,42,11.27,0.17,0.1
abricot,48,11.12,1.4,0.39
banane,89,22.84,1.09,0.33
mures-congelees,64,15.67,1.18,0.43
mures-crues,43,9.61,1.39,0.49
mures,57,14.49,0.74,0.33
fruit-a-pain,103,27.12,1.07,0.23
carambole,31,6.73,1.04,0.33
cherimole,75,17.71,1.57,0.68
cerises-griottes,50,12.18,1,0.3
cerises,63,16.01,1.06,0.2
baies-daronia,162,33.62,3.04,1.69
clementine,47,12.02,0.85,0.15
pomme-sauvage,76,19.95,0.4,0.3
canneberges,46,12.2,0.39,0.13
cassis-noirs,63,15.38,1.4,0.41
cassis-rouges-blancs,56,13.8,1.4,0.2
baies-de-sureau,73,18.4,0.66,0.5
feijoa-gojave-du-bresil,55,12.92,0.98,0.6
figues,74,19.18,0.75,0.3
salade-fruits-noix-mcdonalds,118,16.6,1.81,5.05
chayote-cuite,22,4.5,0.62,0.48
chayote-crue,19,4.51,0.82,0.13
groseilles-a-maquereau,44,10.18,0.88,0.58
pamplemousse,42,10.66,0.77,0.14
pamplemousse-blanc,33,8.41,0.69,0.1
compote-pomme-peche-douceur-du-verger,78,17,0.6,0.2
bleuets-bleuet,170,8,1,15
pasteque,30,7.55,0.61,0.15
mandarine,53,13.34,0.81,0.31
fraises,32,7.68,0.67,0.3
baie-de-sorbier,111,23.9,2.3,2
gratte-cul,162,38.22,1.6,0.34
framboises,52,11.94,1.2,0.65
framboises-sauvages,62,13.85,1.12,0.28
coing,57,15.3,0.4,0.1
puree-de-prune,257,65.1,2.1,0.2
prunes-en-compote,113,29.7,1.23,0.24
prunes,339,89.07,3.7,0.73
pousses-de-raisin-damerique-crues,23,3.7,2.6,0.4
grenade,83,18.7,1.67,1.17
prune,46,11.42,0.7,0.28
prune-sauvage,91,21.95,0.43,0.17
pousses-de-raisin-damerique-cuites,20,3.1,2.3,0.4
figue-de-barbarie-crue,42,10.17,0.12,0.11
banane-plantain-cuite,116,31.15,0.79,0.18
banane-plantain-frite,309,49.17,1.5,11.81
banane-plantain-crue,122,31.89,1.3,0.37
banane-plantain-jaune-frite,236,40.77,1.42,7.51
figue-de-barbarie-cuite,91,21.57,0.39,0.31
ananas,50,13.12,0.54,0.12
kaki-du-japon-seche,274,73.43,1.38,0.59
kaki-du-japon,70,18.59,0.58,0.19
kaki,127,33.5,0.8,0.4
nashi-pomme-poire,42,10.65,0.5,0.23
poire,57,15.23,0.36,0.14
boules-de-melon,33,7.94,0.84,0.25
cerises-au-marasquin,165,41.97,0.22,0.21
cerises-de-terre,53,11.2,1.9,0.7
citron-vert,30,10.54,0.7,0.2
citrons,29,9.32,1.1,0.3
goyave,68,14.32,2.55,0.95
goyave-de-chine,69,17.36,0.58,0.6
jamblon,60,15.56,0.72,0.23
kiwano-melon-a-cornes,44,7.56,1.78,1.26
kiwi-dore,60,14.23,1.23,0.56
kiwi-vert,61,14.66,1.14,0.52
kumquat,71,15.9,1.88,0.86
mangue,60,14.98,0.82,0.38
melon-cantaloup,34,8.16,0.84,0.19
melon-despagne,36,9.09,0.54,0.14
