,Kcalories,Glucides,Protéines,Lipides
mais-cuit,96,20.98,3.41,1.5
mais-seche,419,66.27,14.48,10.64
manioc,160,38.06,1.36,0.28
mousse-dirlande,49,12.29,1.51,0.16
moutarde-epinard-crue,22,3.9,2.2,0.3
moutarde-epinard-cuite,16,2.8,1.7,0.2
navets-des-prairies-bouillis,129,29.99,1.64,0.32
navets-des-prairies-crus,156,35.67,2.62,0.36
oignon-cebette,32,7.34,1.83,0.19
oignon-doux,32,7.55,0.8,0.08
oignon-cru,40,9.34,1.1,0.1
oignon-cuit,42,9.56,1.36,0.19
olives,115,6.26,0.84,10.68
olives-vertes-marinees,145,3.84,1.03,15.32
oseille-de-guinee,49,11.31,0.96,0.64
panais-crus,75,17.99,1.2,0.3
panais-cuits,71,17.01,1.32,0.3
patate-douce-crue,86,20.12,1.57,0.05
patate-douce-cuite-au-four,92,20.71,2.01,0.15
patisson-cru,18,3.84,1.2,0.2
patisson-cuit,16,3.3,1.03,0.17
petits-pois-carottes-cuits,48,10.12,3.09,0.42
petits-pois-oignons-cuits,45,8.63,2.54,0.2
petits-pois-casses-crus,341,60.37,24.55,1.16
petits-pois-casses-cuits,116,20.51,8.34,0.39
petits-pois-crus,81,14.45,5.42,0.4
petits-pois-cuits,84,15.63,5.36,0.22
piment-fort-seche,324,69.86,10.58,5.81
piment-hongrois,29,6.7,0.8,0.41
piment-jalapeno,29,6.5,0.91,0.37
piment-serrano,32,6.7,1.74,0.44
piment-vert,40,9.46,2,0.2
piments-rouges,40,8.81,1.87,0.44
poi,112,27.23,0.38,0.14
poireaux-crus,61,14.15,1.5,0.3
poireaux-cuits,31,7.62,0.81,0.2
poireaux-seches,321,74.65,15.2,2.1
poivrons-jaunes,27,6.32,1,0.21
poivrons-rouges-crus,31,6.03,0.99,0.3
poivrons-rouges-cuits,26,6.11,0.92,0.2
poivrons-verts-crus,20,4.64,0.86,0.17
poivrons-verts-cuits,26,6.11,0.92,0.2
pourpier-cru,20,3.39,2.03,0.36
pourpier-cuit,18,3.55,1.49,0.19
pousses-de-haricots-mungo-crues,30,5.94,3.04,0.18
pousses-de-haricots-mungo-cuites,19,3.6,2.03,0.09
pupusas-aux-haricots-rouges,229,31.49,5.59,9.01
racines-de-chicoree,72,17.51,1.4,0.2
racines-de-lotus-crues,74,17.23,2.6,0.1
racines-de-lotus-cuites,66,16.02,1.58,0.07
racines-de-taro-crues,11,2.32,0.92,0.09
racines-de-taro-cuites,14,3.19,0.73,0.08
radis-dhiver,14,2.63,1.1,0.1
radis-orientaux-crus,18,4.1,0.6,0.1
radis-orientaux-cuits,17,3.43,0.67,0.24
radis-orientaux-seches,271,63.37,7.9,0.72
radis-crus,16,3.4,0.68,0.1
radis-marines,28,5.2,1.1,0.3
rhubarbe-crue,21,4.54,0.9,0.2
rhubarbe-cuite,116,31.2,0.39,0.05
rutabaga-cru,37,8.62,1.08,0.16
rutabaga-cuit,30,6.84,0.93,0.18
salade-verte,15,2.87,1.36,0.15
salsifi-cru,82,18.6,3.3,0.2
salsifi-cuit,68,15.36,2.73,0.17
spiruline-sechee,290,23.9,57.47,7.72
taro-de-tahiti-cru,44,6.91,2.79,0.97
taro-de-tahiti-cuit,44,6.85,4.16,0.68
taro-cru,112,26.46,1.5,0.2
tiges-de-moringa-crues,37,8.53,2.1,0.2
tiges-de-moringa-cuites,36,8.18,2.09,0.19
topinambours,73,17.44,2,0.01
trevise,23,4.48,1.43,0.25
varech,43,9.57,1.68,0.56
wakame,45,9.14,3.03,0.64
haricots-rouges-du-japon-cuits,128,24.77,7.52,0.1
haricots-rouges-du-japon-crus,329,62.9,19.87,0.53
ykan,260,60.72,3.29,0.12
haricots-blancs-cuits,105,19.45,6.65,0.3
haricots-blancs-a-la-sauce-tomate-en-conserve,94,21.14,4.75,0.37
haricots-blancs-en-conserve,114,21.2,7.26,0.29
haricots-blancs-crus,333,60.27,23.36,0.85
haricots-blancs-cuits-15511,139,25.09,9.73,0.35
haricots-beurre-cuits,144,25.27,9.16,1.08
haricots-beurre-crus,345,60.7,22,2.6
haricots-noirs-cuits,132,23.71,8.86,0.54
haricots-noirs-crus,341,62.36,21.6,1.42
haricots-tortue-cuits,130,24.35,8.18,0.35
haricots-tortue-crus,339,63.25,21.25,0.9
feves-en-conserve,71,12.41,5.47,0.22
feves-cuites,110,19.65,7.6,0.4
feves-crues,341,58.29,26.12,1.53
caroube,540,56.29,8.15,31.36
pois-chiches-en-conserve,139,22.53,7.05,2.77
pois-chiches-crus,364,60.65,19.3,6.04
pois-chiches-cuits,164,27.42,8.86,2.59
haricots-cornille-cuits,94,19.73,3.17,0.38
haricots-cornille-crus,90,18.83,2.95,0.35
doliques-monguette-cuites,117,20.32,8.13,0.71
doliques-monguette-crues,343,59.64,23.85,2.07
haricots-en-conserve,77,13.63,4.74,0.55
niebe-cuit,116,20.76,7.73,0.53
niebe-cru,44,9.5,3.3,0.3
haricots-canneberge-en-conserve,83,15.12,5.54,0.28
haricots-canneberge-cuits,136,24.46,9.34,0.46
haricots-blancs-saint-eloi,72,8.4,5.7,0.4
flageolets-carrefour,83,12,4.8,0.6
soupe-poulet-thai-covent-garden,45,3.3,1.7,2.4
doliques-asperge-cuites,118,21.09,8.29,0.45
doliques-asperge-crues,347,61.91,24.33,1.31
pois-carres-cuits,147,14.94,10.62,5.84
pois-carres-crus,409,41.71,29.65,16.32
tamarins,239,62.5,2.8,0.6
haricots-mange-tout-beurre-cuits,35,7.88,1.89,0.28
haricots-mange-tout-beurre-crus,31,7.13,1.82,0.12
haricots-mange-tout-en-conserve,15,3.5,0.8,0.1
haricots-mange-tout-cuits,35,7.88,1.89,0.28
haricots-mange-tout-crus,31,6.97,1.83,0.22
haricots-mange-tout-beurre-en-conserve,15,3.5,0.8,0.1
haricots-arrives-a-maturite-en-conserve,30,6.19,1.76,0.19
haricots-pinto-crus,347,62.55,21.42,1.23
haricots-roses-cuits,149,27.91,9.06,0.49
haricots-roses-crus,343,64.19,20.96,1.13
haricots-pinto-en-conserve,82,15.18,4.6,0.56
haricots-pinto-cuits,143,26.22,9.01,0.65
pois-dangole-cuits,121,23.25,6.76,0.38
pois-dangole-crus,343,62.78,21.7,1.49
petits-haricots-blancs-cuits,140,26.05,8.23,0.62
petits-haricots-blancs-crus,337,60.75,22.33,1.5
petits-haricots-blancs-en-conserve,113,20.45,7.53,0.43
haricots-mungo-cuits,105,19.15,7.02,0.38
haricots-mungo-cuits-16577,105,18.34,7.54,0.55
haricots-mungo-crus,341,58.99,25.21,1.64
haricots-mats-cuits,117,20.96,7.81,0.55
haricots-mats-crus,343,61.52,22.94,1.61
doliques-pourpres-crues,344,60.74,23.9,1.69
doliques-pourpres-cuites,117,20.7,8.14,0.58
feves-edamame-cuites,122,9.94,10.88,5.2
haricots-canneberge-crus,335,60.05,23.03,1.23
haricots-de-lima-crus,338,63.38,21.46,0.69
haricots-de-lima-cuits,115,20.88,7.8,0.38
haricots-de-lima-en-conserve,79,14.91,4.93,0.17
haricots-verts-crus,343,64.11,18.81,2.02
haricots-verts-cuits,36,4.99,2.35,0.23
lentilles-corail-cuites,77,9.5,6.8,0.4
lentilles-crues,353,60.08,25.8,1.06
lentilles-cuites,114,19.54,9.02,0.38
cereales-au-son-de-ble,320,80.4,9.4,2.2
cereales-a-lamarante,353,71.15,15.54,7
corn-flakes,399,88.8,7.7,0.3
semoule-de-mais-cuite,71,14.76,1.71,0.46
semoule-de-mais-crue,370,79.09,7.65,1.75
cereales-aux-noix,408,76.98,6.64,9.82
granola,489,53.25,14.85,24.06
muesli-aux-fruits-et-aux-noix,340,77.8,9.7,4.9
special-muesli-30-fruits-et-noix-jordans,377,58.2,9.6,9.7
flocons-d-avoine-auchan,364,56.2,11,7.9
flocons-davoine-quaker,375,60,11,8
muesli-de-luxe-jordans,166,26.6,4.1,3.9
flocons-davoine-complet-bio-terres-et-cereals,366,58.7,12.5,6.6
crousti-avoine-chocolat-bio-bjorg,440,68.9,8.8,13.2
flakes-terres-et-ceraales-bio,350,64.25,12.25,2.75
muesli-seigle-et-praline-terres-et-cereals,439,63.8,6.1,16
glands-seches,509,53.66,8.1,31.41
gland-cru,387,40.75,6.15,23.86
graines-de-luzerne,23,2.1,3.99,0.69
amandes-crues,575,21.67,21.22,49.42
amandes-grillees,607,17.68,21.23,55.17
graines-danis,337,50.02,17.6,15.9
faines-sechees,576,33.5,6.2,50
noix-du-bresil-sechee,656,12.27,14.32,66.43
graines-de-fruit-a-pain,191,29.24,7.4,5.59
noix-sechees,612,12.05,24.9,56.98
graines-de-carvi,333,49.9,19.77,14.59
noix-de-cajou-grillees,581,30.16,16.84,47.77
graines-de-celeri,392,41.35,18.07,25.27
chataignes-deau-grillees,239,52.36,4.48,1.19
chataignes-cuites,131,27.76,2,1.38
chataignes-crues,213,45.54,2.42,2.26
chataignes-grillees,245,52.96,3.17,2.2
chataignes-japonaises-grillees,201,45.13,2.97,0.8
graines-de-chia-sechees,486,42.12,16.54,30.74
graines-de-cumin,375,44.24,17.81,22.27
graines-daneth,305,55.17,15.98,14.54
graines-de-fenouil,345,52.29,15.8,14.87
graines-de-fenugrec,323,58.35,23,6.41
noix-de-ginkgo-en-conserve,111,22.1,2.29,1.62
noix-de-ginkgo-sechees,348,72.45,10.35,2
noix-de-ginkgo-crues,182,37.6,4.32,1.68
noisettes-crues,628,16.7,14.95,60.75
noisettes-blanchies,629,17,13.7,61.15
noisettes-grillees,646,17.6,15.03,62.4
noix-de-carya-sechees,657,18.25,12.72,64.37
barre-genereuse-amandes-grillees-et-chocolat-extra,521,14,12,33
graines-de-nenuphar-sechees,361,80.02,7.9,1.07
chataignes-deau-en-conserve,50,12.3,0.88,0.06
graines-de-pasteque-sechees,557,15.31,28.33,47.37
chataigne-deau-crue,97,23.94,1.4,0.1
noix-de-noyer-noir-sechee,618,9.91,24.06,59
noix,654,13.71,15.23,65.21
graines-de-tournesol-sechees,584,20,20.78,51.46
graines-de-tournesol-grillees-a-sec,582,24.07,19.33,49.8
graines-de-tournesol-grillees,619,20.59,17.21,56.8
graines-de-sysimbre,318,58.26,12.14,4.6
graines-de-sesame-sechees,573,23.45,17.73,49.67
graines-de-sesame-grillees,565,25.74,16.96,48
graines-de-noix-pain-sechees,367,79.39,8.62,1.68
graines-de-noix-pain-crues,217,46.28,5.97,0.99
graines-de-lin,534,28.88,18.29,42.16
graines-de-carthame-sechees,517,34.29,16.18,38.45
graines-de-citrouille-de-courge-sechees,559,10.71,30.23,49.05
graines-de-citrouille-de-courge-grillees,574,14.71,29.84,49.05
graines-de-pavot,525,28.13,17.99,41.56
pistaches-grillees,564,28.66,20.95,44.82
pistaches-crues,562,27.51,20.27,45.39
pignons-seches-16826,629,19.3,11.57,60.98
noix-de-pecan-crues,691,13.86,9.17,71.97
noix-de-pecan-grillees,715,13.01,9.2,75.23
pectine,325,90.4,0.3,0.3
cacahuetes-de-virginie-crues,563,16.54,25.19,48.75
cacahuetes-crues,567,16.13,25.8,49.24
arachides-grillees,579,17.45,28.01,49.04
arachides,570,15.82,26.15,49.6
arachides-de-valence-grillees,589,16.3,27.04,51.24
cacahuetes-de-valence-crues,570,20.91,25.09,47.58
cacahuetes-de-virginie-grillees,578,19.86,25.87,48.62
cacahuetes-cuites,318,21.26,13.5,22.01
cacahuetes-grillees,599,15.26,28.03,52.5
graines-de-lotus-crues,89,17.28,4.13,0.53
graines-de-lotus-sechees,332,64.47,15.41,1.97
graines-de-moutarde-moulues,508,28.09,26.08,36.24
lupins-crus,371,40.37,36.17,9.74
lupins-cuits,116,9.29,15.57,2.92
melange-de-noix-grillees,594,25.35,17.3,51.45
noix-de-cajou-crues,553,30.19,18.22,43.85
noix-de-macadamia-crues,718,13.82,7.91,75.77
noix-de-macadamia-grillees,716,12.83,7.79,76.08
noix-de-pili-sechees,719,3.98,10.8,79.55
pignons-seches,673,13.08,13.69,68.37
nappage-a-la-cacahuete-mcdonalds,640,16.23,28.04,52.91
fromage-fondu-americain,290,8.73,16.41,21.23
beurre-de-pommes,173,42.47,0.39,0.3
fromage-a-tartiner,295,3.5,7.1,28.6
poulet-a-tartiner,158,4.05,18.01,17.56
pate-a-tartiner-chocolat-noisettes,541,62.16,5.41,29.73
fromage-a-tartiner-avec-jambon,245,2.28,16.18,18.53
miel,304,82.4,0.3,0
confiture-dabricots,242,64.4,0.7,0.2
confiture-aux-fruits,278,68.86,0.37,0.07
marmelade-doranges,246,66.3,0.3,0
beurre-de-cacahuetes,529,46.88,18.3,29.8
beurre-de-cacahuetes-avec-morceaux,589,21.57,24.06,49.94
beurre-darachide,650,14.23,24.8,54.89
beurre-de-sesame-17246,570,26.19,17.81,48
marmelade-oranges-amers-bonnes-mamans,239,59,0.3,0.1
pate-a-tartiner-noisettes-monoprix,538,57,5.7,31
beurre-de-cacahuete-crunchy-myproteine,579,12,30,46
macaronis-cuits,158,30.86,5.8,0.93
macaronis-crus,371,74.67,13.04,1.51
macaronis-vegetariens-cuits,128,26.61,4.53,0.11
macaronis-vegetariens-seches,367,74.88,13.14,1.04
macaronis-au-ble-entier-cuits,124,26.54,5.33,0.54
macaronis-au-ble-entier-seches,348,75.03,14.63,1.4
nouilles-chinoises,351,86.09,0.16,0.06
nouilles-chow-mein,459,67.02,10.58,17.64
nouilles-aux-oeufs-cuites,138,25.16,4.54,2.07
nouilles-aux-oeufs-sechees,384,71.27,14.16,4.44
nouilles-aux-oeufs-avec-epinards-sechees,382,70.32,14.61,4.55
nouilles-soba-a-la-japonaise-cuites,99,21.44,5.06,0.1
nouilles-soba-a-la-japonaise-sechees,336,74.62,14.38,0.71
nouilles-smen-a-la-japonaise-cuites,131,27.54,4,0.18
nouilles-smen-a-la-japonaise-sechees,356,74.1,11.35,0.81
pates-au-mais-sechees,357,79.26,7.46,2.08
pates-cuites,131,24.93,5.15,1.05
nouilles-au-riz-cuites,109,24.9,0.91,0.2
nouilles-au-riz-sechees,364,83.24,3.44,0.56
spaghetti-cuits,157,30.59,5.8,0.93
spaghetti-seches,371,74.67,13.04,1.51
spaghetti-aux-epinards-cuits,372,74.81,13.35,1.57
spaghetti-au-ble-complet-cuits,124,26.54,5.33,0.54
spaghetti-au-ble-complet-seches,348,75.03,14.63,1.4
triangoli-aux-legumes-auchan,285,33.4,7.8,12.6
noodles-orientales-saveur-poulet-leader-price,110,15,3,4
nouilles-asiatiques-poulet-legumes-leader-price,109,12,7.8,2.8
chapelure,395,71.98,13.35,5.3
gaufre-au-babeurre,309,48.39,7.42,9.49
croutons,407,73.5,11.9,6.6
croutons-assaisonnes,465,63.5,10.8,18.3
beignet-au-chocolat,417,57.4,4.5,19.9
beignet-enrobe-de-chocolat,452,51.33,4.93,25.25
beignet,426,50.8,5.2,22.9
beignet-de-pate-a-choux,412,59.5,3.1,18.3
beignet-nappe,421,47.93,6.14,22.7
beignet-fourre-a-la-creme,361,30,6.4,24.5
beignet-fourre-a-la-confiture,340,39,5.9,18.7
eclair,262,24.2,6.4,15.7
cupcake,467,53.16,6.81,25.24
muffin-aux-myrtilles,377,53.98,4.54,15.85
muffin-au-mais,305,50.9,5.9,8.4
muffin-au-son-davoine,270,48.3,7,7.4
muffin,296,41.4,6.9,11.4
crepes,227,28.3,6.4,9.7
crepes-au-ble-complet,208,29.4,8.5,6.5
pate-feuilletee,558,45.7,7.4,38.5
rouleaux-au-fromage-a-la-creme,360,43.7,7.1,18.3
rouleaux-a-la-cannelle,372,50.9,6.2,16.4
tortilla-pour-tacos,474,64.03,6.48,21.3
chausson-aux-fruits-a-toaster,409,72.7,4.7,11.03
chausson-a-la-cannelle-a-toaster,412,68.1,5.1,14.2
tortilla,237,49.94,7.28,0.95
tortilla-de-mais,218,44.64,5.7,2.85
tortilla-de-ble,297,49.27,8.01,7.58
gaufre,291,32.9,7.9,14.1
gaufre-toastee,312,49.29,7.19,9.61
gaufres-aux-oeufs-frais-eco,464,50.5,7.7,25.5
clafoutis-aux-cerises-monoprix,197.6471,29.4118,5.1765,6
english-muffins-ms,295,42,8.5,9.6
madeleine-st-michel,453,59,6,21
pepito-pepites-lu,443.3333,50,5,24
biscotte,426,74.2,10.1,9.7
brioche-chaude-a-la-cannelle-mcdonalds,398,53.02,7.18,18.14
arroz-con-abichuelas-riz-haricots,142,23.74,3.96,3.46
arroz-con-frijoles-riz-aux-haricots-noirs,151,24.4,4.64,3.85
arroz-con-gandules-riz-pois-dangole,182,30.75,3.5,4.98
bagel-jambon-oeuf-et-fromage,253,27.43,13.97,9.68
haricots-blancs-a-la-sauce-tomate,155,21.63,5.54,5.15
hachis-de-corned-beef-avec-pommes-de-terre,164,9.27,8.73,10.24
pain-brioche-avec-oeuf,274,23.46,8.53,16.23
pain-brioche-avec-oeuf-saucisse,312,21.05,11.13,20.77
pain-hamburger-avec-oeuf-steak-hache,277,14.37,12.12,19.21
pain-hamburger-avec-oeuf-bacon,305,19.06,11.33,20.73
pain-hamburger-avec-oeuf-jambon,230,16.37,10.64,14.08
pain-hamburger-avec-oeuf-fromage-bacon,301,24.44,12.01,17.48
pain-hamburger-avec-jambon,342,38.75,11.85,16.3
pain-hamburger-avec-saucisse,371,29.99,9.67,24.42
burrito-avec-haricots,206,32.92,6.48,6.22
burrito-avec-haricots-boeuf,191,19.52,11.52,7.47
burrito-avec-haricots-fromage,205,31.23,7.35,6.05
burrito-avec-haricots-fromage-boeuf,163,19.55,7.18,6.55
burrito-avec-boeuf,238,26.6,12.09,9.46
chow-mein-au-poulet,85,8.29,6.76,2.8
sandwich-au-poulet,283,21.26,13.25,16.18
sandwich-au-poulet-et-au-fromage,277,18.24,12.9,17
tourte-au-poulet,198,18.99,4.82,11.45
poulet-sauce-aigre-douce,250,23.86,10.1,12.65
chimichanga-au-boeuf,244,24.6,11.27,11.31
chimichanga-boeuf-fromage,242,21.49,10.96,12.81
riz-au-mais,378,86.85,6.06,1.08
epi-de-mais-au-beurre,106,21.88,3.06,2.35
tamal-papillote-a-la-pate-de-farine-de-mais,186,26.68,3.48,7.21
cake-au-crabe,266,8.52,18.75,17.25
salade-de-boulgour-au-poulet-et-houmous-carrefour,156,15,5.4,7.6
salade-pate-au-thon-sans-sauce-daunat,145,15.2188,7.6563,5.5313
salade-mexico-sodebo,164,20,5.6,6.6
salmon-and-prawns-curry-maison,140,3,9,10
tourte-aux-champignons-et-jambon-marque-repere,199,19.2,4.3,11.2
bouchee-a-la-reine,213,23,8,5
roti-de-porc-sauce-moutarde-bofrost,96.8889,7.7,12.2222,3.8222
tagliatelles-au-poulet-champignon-et-creme-weight-watchet,308,11,23,2.6
galette-epeautre-et-boulghour-aux-petits-legumes-cereal-bio,229,26,5.7,10
grill-vegetal-sojable-cereal,133,2.1,17,8.5
chili-con-carne,101,8.67,9.73,3.27
pates-won-ton,291,57.9,9.8,1.5
filets-vegetaux,290,9,23,18
tourte-a-la-dinde,176,17.7,6.5,8.8
dinde-en-sauce,67,4.61,5.88,2.63
tostada-avec-haricots-fromage,155,18.42,6.67,6.85
tostada-avec-boeuf-fromage,193,13.97,11.65,10.03
tostada-avec-guacamole,138,12.27,4.78,8.91
salade-taco-avec-chili-con-carne,111,10.18,6.67,5.03
taco-avec-boeuf-fromage-laitue,226,19.85,8.86,12.7
taco-avec-poulet-fromage-laitue,189,19.69,13.3,6.35
tamales-navajo,153,18.12,6.28,6.12
salade-taco,141,11.91,6.68,7.46
succotash,111,24.37,5.07,0.8
ragout-de-legumes,123,7,17,3
souffle-aux-epinards,169,5.9,7.89,12.95
quesadilla-au-poulet,294,24.04,15.05,15.25
pupusas-con-queso-tortillas-fourrees-au-fromage,256,22.39,11.72,13.25
tortillas-au-porc,232,23.02,11.51,10.43
emince-de-porc-sauce-barbecue,168,18.74,13.19,4.42
biscuits-a-la-cuillere,365,59.7,10.6,9.1
crepes-au-babeurre,227,28.7,6.8,9.3
crepes-aux-myrtilles,222,29,6.1,9.2
crepes-avec-beurre-sirop,224,39.18,3.56,6.03
croissant-au-beurre,406,45.8,8.2,21
croissant-au-fromage,414,47,9.2,20.9
croissant-aux-pommes,254,37.1,7.4,8.7
croissant-avec-oeuf-fromage,290,19.14,10.07,19.45
empanada-au-boeuf,335,31.19,11.31,18.37
enchilada-au-fromage,196,17.51,5.91,11.56
enchilada-au-fromage-boeuf,168,15.87,6.21,9.19
enchirito-au-fromage-boeuf-haricots,178,17.51,9.27,8.33
falafel,333,31.84,13.31,17.8
frijoles-au-fromage-haricots-frits,135,17.19,6.81,4.66
frites-16980,312,41.44,3.43,14.73
gefilte-fish-boulettes-de-poisson,84,7.41,9.07,1.73
gratin-de-pommes-de-terre,132,11.27,5.06,7.59
haricots-rouges-frits,144,15.47,5,6.93
houmous,177,20.12,4.86,8.59
hushpuppies-beignets-a-la-farine-de-mais,337,46,7.7,13.5
melange-aux-oeufs,555,23.97,35.6,34.5
muffin-anglais-au-beurre,300,48.19,7.73,9.14
muffin-anglais-avec-fromage-saucisse,338,25.28,13.28,20.67
muffin-anglais-avec-oeuf-fromage-saucisse,286,17.44,13.38,18.1
nachos-au-fromage,306,32.15,8.05,16.77
nachos-au-fromage-piments-jalapeno,298,29.45,8.24,16.74
nachos-au-sucre-et-a-la-cannelle,543,58.16,6.6,33.01
oeuf-poche,143,0.71,12.51,9.47
oeufs-brouilles,212,2.08,13.84,16.18
omelette,154,0.64,10.57,11.66
pain-perdu-au-beurre,264,26.7,7.66,13.9
pain-pique-nique,232,4.76,14.92,16.64
pate-imperial-nem,250,27.29,8.28,11.94
pate-imperial-au-porc-nem,222,29.5,9.94,7.17
pate-imperial-au-poulet-nem,197,28.54,10.44,4.51
pate-imperial-aux-legumes-nem,196,31.99,6.62,4.67
petit-pain-aux-oeufs,307,52,9.5,6.4
pomme-de-terre-au-four-a-la-creme-fraiche,130,16.56,2.21,7.39
pomme-de-terre-au-four-avec-sauce-au-fromage,160,15.71,4.94,9.71
pomme-de-terre-au-four-avec-sauce-au-fromage-bacon,151,14.86,6.16,8.66
porc-sauce-aigre-douce,270,23.34,8.91,15.66
poulet-au-citron,226,19.15,10.77,11.76
poulet-du-general-tao,295,23.99,12.9,16.36
poulet-kung-pao,129,6.87,9.76,6.98
riz-cantonnais,163,30.99,4.67,2.27
roule-jambon-fromage,241,4,13.6,18.7
sandwich-au-poulet-croustillant,278,26.36,11.72,13.93
sandwich-jambon-fromage,241,22.84,14.17,10.6
sandwich-jambon-fromage-oeuf,243,21.64,13.46,11.4
sandwich-oeuf-fromage,233,17.76,10.69,13.3
steak-a-la-mozzarella-pane,329,24.89,14.89,18.92
tamal-au-porc,174,15.75,7.35,9.04
anchois-crue,131,0,20.35,4.84
bar-cru,114,0,18.86,3.69
bar-cuit,146,0,24.18,4.73
tassergal-cuit,159,0,25.69,5.44
tassergal-cru,124,0,20.04,4.24
barbotte-cuite,115,0,24.76,1.04
barbotte-crue,90,0,19.31,0.81
stromatee-cuit,187,0,22.15,10.28
stromatee-cru,146,0,17.28,8.02
carpe-cuite,162,0,22.86,7.17
carpe-crue,127,0,17.83,5.6
poisson-chat-frit,229,8.04,18.09,13.33
poisson-chat-cuit,144,0,18.44,7.19
poisson-chat-cru,119,0,15.23,5.94
caviar,264,4,24.6,17.9
cisco-cru,98,0,18.99,1.91
cabillaud-cuit,105,0,22.83,0.86
cabillaud-cru,82,0,17.81,0.67
langoustine-cuite,87,0,17.52,1.3
langoustine-crue,72,0,14.85,0.97
tambour-bresilien-frit,221,7.54,18.2,12.67
tambour-bresilien-cru,104,0,17.78,3.17
lotte-de-riviere-cuite,112,0,24.35,0.88
lotte-de-riviere-crue,87,0,18.99,0.69
seiche-cuite,158,1.64,32.48,1.4
seiche-crue,79,0.82,16.24,0.7
viande-de-dauphin-cuite,109,0,23.72,0.9
viande-de-dauphin-crue,85,0,18.5,0.7
malachigan-cuit,153,0,22.49,6.32
malachigan-cru,119,0,17.54,4.93
caviar-de-courgettes-maayane,265,23,1.7,26.2
nuggets-colin-iglo,228.7234,18.8298,11.7021,11.7021
yakitori-saumon-japonais,116,2.7,10.9,6.9
seriole-cuite,187,0,29.67,6.72
seriole-crue,146,0,23.14,5.24
poisson-loup-cuit,123,0,22.44,3.06
poisson-loup-cru,96,0,17.5,2.39
merlan-cuit,116,0,23.48,1.69
merlan-cru,90,0,18.31,1.31
poisson-a-chair-blanche-cuit,172,0,24.47,7.51
poisson-a-chair-blanche-cru,134,0,19.09,5.86
thon-albacore-cuit,130,0,29.15,0.59
turbot-cuit,122,0,20.58,3.78
turbot-cru,95,0,16.05,2.95
salade-de-thon-rouge-cru,144,0,23.33,4.9
thon-albacore-cru,109,0,24.4,0.49
bonite-rayee-thon-cuite,132,0,28.21,1.29
truite-crue,148,0,20.77,6.61
truite-arc-en-ciel-cuite,168,0,23.8,7.38
truite-arc-en-ciel-crue,141,0,19.94,6.18
salade-de-thon,187,9.41,16.04,9.26
salade-de-thon-rouge-cuit,184,0,29.91,6.28
truite-cuite,190,0,26.63,8.47
tilapia-cru,96,0,20.08,1.7
dore-de-mer-cuit,147,0,24.49,4.69
dore-de-mer-cru,96,0,17.5,2.31
tilapia-cuit,128,0,26.15,2.65
espadon-cuit,172,0,23.45,7.93
espadon-cru,144,0,19.66,6.65
surimi,99,6.85,15.18,0.9
aiglefin-cru,74,0,16.32,0.45
aiglefin-cuit,90,0,19.99,0.55
alose-damerique-crue,197,0,16.93,13.77
alose-damerique-cuite,252,0,21.71,17.65
anguille-crue,184,0,18.44,11.66
anguille-cuite,236,0,23.65,14.95
bar-commun-cru,97,0,18.43,2
bar-commun-cuit,124,0,23.63,2.56
batonnets-de-poisson,290,9,23,18
brochet-cru,88,0,19.26,0.69
brochet-cuit,113,0,24.69,0.88
carangue-pompano-crue,164,0,18.48,9.47
carangue-pompano-cuite,211,0,23.69,12.14
charbonnier-cru,195,0,13.41,15.3
charbonnier-cuit,250,0,17.19,19.62
colin-cru,92,0,19.44,0.98
colin-cuit,118,0,24.92,1.26
crapet-soleil-cru,89,0,19.4,0.7
crapet-soleil-cuit,114,0,24.87,0.9
dore-jaune-cru,93,0,19.14,1.22
dore-jaune-cuit,119,0,24.54,1.56
eperlan-arc-en-ciel-cru,97,0,17.63,2.42
eperlan-arc-en-ciel-cuit,124,0,22.6,3.1
esturgeon-cru,105,0,16.14,4.04
esturgeon-cuit,135,0,20.7,5.18
filet-de-poisson-frit,232,16.97,14.66,12.29
flet-cru,70,0,12.41,1.93
flet-cuit,86,0,15.24,2.37
fletan-du-groenland-cru,186,0,14.37,13.84
fletan-du-groenland-cuit,239,0,18.42,17.74
fletan-cru,91,0,18.56,1.33
fletan-cuit,111,0,22.54,1.61
hareng-cru,158,0,17.96,9.04
hareng-cuit,203,0,23.03,11.59
hareng-fume,217,0,24.58,12.37
hoplostethe-orange-cru,76,0,16.41,0.7
hoplostethe-orange-cuit,105,0,22.64,0.9
julienne-crue,87,0,18.99,0.64
julienne-cuite,111,0,24.35,0.82
loquette-damerique-crue,79,0,16.64,0.91
loquette-damerique-cuite,102,0,21.33,1.17
lotte-crue,76,0,14.48,1.52
lotte-cuite,97,0,18.56,1.95
loup-de-mer-cru,91,0,19.39,0.92
loup-de-mer-cuit,117,0,24.86,1.18
maquereau-sale,305,0,18.5,25.1
maquereau-cru,205,0,18.6,13.89
maquereau-cuit,262,0,23.85,17.81
meduse-sechee,36,0,5.5,1.4
merou-cru,92,0,19.38,1.02
merou-cuit,118,0,24.84,1.3
morue-lingue-crue,85,0,17.66,1.06
morue-lingue-cuite,109,0,22.64,1.36
mulet-cru,117,0,19.35,3.79
mulet-cuit,150,0,24.81,4.86
nuggets-de-saumon,212,13.96,12.69,11.72
oeufs-de-poisson-crus,143,1.5,22.32,6.42
oeufs-de-poisson-cuits,204,1.92,28.62,8.23
